2	3.2	4	1.33333333333333	2.5	2.16666666666667	2	1.88888888888889	1.6	2	2.75	3.5	3.8	3.8	2	3.83333333333333	3.375	3.25	3.25	2	3	4.25	8	2	2.77777777777778	2.71428571428571	1.44444444444444	3.28571428571429	74	74	100	3725	1	1	30	6	8	4	2	5	1	5	3
1.75	2.8	4.25	1.66666666666667	1.66666666666667	2	2	1.33333333333333	1.4	1.75	3	3	4	3.2	2	4.33333333333333	2.625	1.5	3.75	3.42857142857143	3	3.75	8.14285714285714	1.875	2.33333333333333	3.28571428571429	2.33333333333333	2.42857142857143	75	75	100	1683	1	1	30	6	8	3	2	5	1	4	5
1	4.4	4.25	1	2.66666666666667	2.16666666666667	1.5	1.22222222222222	1.4	4	4.25	4	3.8	4.4	2	4	2.5	1	3.375	4.85714285714286	3.25	4.75	6.85714285714286	2.125	3.11111111111111	3.42857142857143	2	2.28571428571429	76	76	100	2273	1	1	57	4	0.5	0.5	0.5	10	1	4	2
2.25	3	4.25	2	2.66666666666667	2.16666666666667	2	1.44444444444444	2	3	4.25	4.25	3.6	2.8	2.25	3.83333333333333	3.125	2	3.625	4	3	3.5	7.85714285714286	2	3.33333333333333	3.71428571428571	1.77777777777778	2.85714285714286	77	77	100	990	1	1	50	4	5	4	1	4	0	4	4
3.5	2.8	3.5	1.66666666666667	2.5	3	3.25	3.22222222222222	2.4	2.75	4	3.5	3.2	4	3.5	4	3.75	3.5	2.5	3.42857142857143	3	3.5	6.42857142857143	2.25	2.77777777777778	2.42857142857143	2.22222222222222	2.85714285714286	78	78	100	2781	1	1	36	6	2	2	2	8	0	3	3
1	2.8	4.5	1	2	2	1	1	1	3.5	3.75	2	3.8	3.6	1	3	1.75	1.25	3.25	4.14285714285714	1.25	4.25	8.85714285714286	2	2.88888888888889	3.14285714285714	2.22222222222222	2.57142857142857	79	79	100	1217	1	1	49	5	5	2	2	6	2	5	5
1.5	3.4	4.25	1	1.66666666666667	1.66666666666667	1.25	1.33333333333333	1	3.25	3.5	3.5	3.2	3	1.5	3.66666666666667	2.25	1	3.75	3.57142857142857	2	3.75	7.42857142857143	1.25	1.77777777777778	1.85714285714286	1	3.14285714285714	80	80	100	2046	1	1	41	4	2.5	1.5	1.5	6	0	5	4
1	2.6	4.25	1	2.33333333333333	1.16666666666667	1	1.77777777777778	1	2	3	4	2	3.4	2.5	3.5	2.375	1.25	4.125	2	2.5	4.25	8.28571428571429	1.125	2.66666666666667	3	1.44444444444444	2.71428571428571	81	81	100	1195	1	1	48	4	14	11	3	8	2	3	1
1.75	3.6	4.5	1.33333333333333	3	1.66666666666667	1.25	2.33333333333333	3	3.25	3.5	3	4.4	4.2	1.5	4	3.125	2	3.25	5	2.75	3.25	8	2.75	2.77777777777778	2.71428571428571	1.88888888888889	2.57142857142857	82	82	100	1303	1	1	40	5	1	1	1	70	1	4	2
2	3.4	4.5	1	1	2	2.25	1	1	3.25	3.25	4.75	3.4	4	2.5	3.66666666666667	1.875	1.5	3.875	3.14285714285714	3.25	4	8.42857142857143	1.75	2.33333333333333	2.42857142857143	1.33333333333333	2.14285714285714	83	83	100	13394	1	1	51	4	34	6	11	9	0	5	3
1.75	3.8	4	1.66666666666667	3.33333333333333	3.5	4	2.11111111111111	2.2	3.75	3.75	4.25	4	3.8	4	4.16666666666667	3.25	4	3.25	3.85714285714286	4.5	4	7.28571428571429	2	3.44444444444444	3.14285714285714	1.88888888888889	2.85714285714286	84	84	100	824	1	2	24	4	3	3	2	3	0	4	4
1	3.2	4.25	1.66666666666667	1.66666666666667	2.5	2.25	1.66666666666667	2.2	4	2.75	4.5	3.2	3.4	4	3.5	2.75	2.5	3.625	4	3	3.75	6.28571428571429	2.875	2.66666666666667	3.42857142857143	1.77777777777778	2.85714285714286	85	85	100	69165	1	1	30	4	6	2	2	3	0	5	4
